"k1_pop","k2_pop","k3_pop","k4_pop","k5_pop","k6_pop","k7_pop","k8_pop","k9_pop","k10_pop","k11_pop","num"
3,12,0,0,11,1,51,3,0,0,0,1
0,1,0,0,14,1,32,3,0,2,0,0
1,1,26,0,4,2,22,3,0,0,0,0
1,1,0,0,14,0,19,4,0,1,0,0
1,2,0,1,14,2,37,3,6,0,0,0
3,6,0,1,4,5,49,5,0,3,0,0
4,7,0,0,7,4,35,5,6,2,0,0
4,11,50,0,28,4,35,7,0,1,0,0
7,18,0,0,14,3,35,8,6,0,0,1
8,18,0,0,11,6,23,8,6,0,0,1
13,27,0,0,3,6,25,8,24,1,0,1
17,37,25,0,17,7,44,11,24,1,0,0
30,60,51,1,7,15,38,15,31,1,0,3
24,51,0,1,18,17,40,27,68,1,0,1
29,53,0,8,4,42,37,40,44,0,0,3
22,42,53,5,11,53,48,41,51,1,0,1
16,28,0,1,7,30,34,37,58,1,0,0
15,32,51,4,14,28,18,32,0,0,0,0
13,27,24,1,7,30,48,33,30,1,0,0
13,25,52,0,4,34,53,29,19,1,0,2
14,21,53,6,11,31,51,31,6,1,0,2
11,18,26,1,32,38,50,27,13,1,0,0
29,60,26,3,11,27,42,23,20,0,0,0
24,60,0,1,14,25,23,22,0,0,0,0
16,39,26,1,25,21,22,18,12,0,0,0
17,35,52,3,7,25,42,20,19,1,0,0
13,35,0,8,0,23,32,17,6,1,9,0
16,34,25,5,10,18,33,16,6,1,22,1
37,76,51,24,10,22,38,15,6,0,31,4
36,82,0,16,7,25,53,16,37,0,14,7
27,49,51,7,14,32,31,17,25,0,18,12
25,44,0,9,17,30,35,17,30,1,8,6
25,48,25,10,21,43,55,22,30,1,22,7
21,36,26,7,21,44,64,24,19,0,22,7
25,34,51,10,7,44,37,24,13,0,32,10
29,42,0,21,14,52,51,27,31,2,18,9
36,57,26,19,7,43,45,29,6,0,14,11
37,73,25,11,7,56,31,28,31,1,9,27
40,51,50,20,10,35,29,28,31,1,35,12
53,85,25,20,7,56,25,34,61,0,44,12
60,79,25,52,14,86,40,42,36,5,13,8
62,88,0,51,10,88,54,51,6,5,21,22
72,86,25,40,14,100,64,56,43,1,35,24
67,90,26,39,4,86,40,61,37,1,27,20
68,74,25,46,3,59,25,51,18,2,35,9
56,63,25,24,3,52,27,45,18,1,18,15
58,61,99,36,14,56,36,42,24,1,30,14
49,50,0,18,7,56,45,44,24,0,26,16
47,51,24,16,23,54,37,48,17,0,59,33
42,44,73,33,10,52,48,54,70,1,30,31
38,42,98,24,17,40,38,47,24,1,30,59
37,50,100,38,10,45,25,47,18,0,13,47
44,59,24,27,7,35,24,41,30,1,13,33
43,55,23,29,13,40,86,41,11,2,28,26
34,43,46,23,9,43,44,46,45,0,24,54
30,39,24,39,3,50,49,47,29,1,21,52
35,41,24,30,20,39,42,43,35,9,25,55
32,45,24,20,10,38,48,40,23,14,26,40
31,45,25,14,17,39,27,45,18,9,35,62
28,37,50,34,10,33,18,51,18,6,31,33
31,32,24,41,16,44,40,45,23,6,25,15
29,32,0,32,3,36,38,43,24,3,43,44
25,35,24,39,3,31,60,39,18,38,39,39
26,35,0,24,10,16,38,36,6,29,21,36
21,34,0,15,14,18,18,37,12,30,26,53
25,26,0,17,14,22,26,33,30,21,27,34
32,32,0,23,27,17,22,31,0,27,64,42
27,39,0,27,6,29,31,35,6,27,41,38
27,35,25,23,24,33,47,55,12,36,59,65
48,57,0,33,17,36,37,50,30,37,53,93
62,72,0,39,82,28,47,49,18,30,70,96
61,72,0,43,69,30,38,53,23,26,72,104
54,67,25,28,50,33,50,54,41,23,69,194
66,63,97,26,43,27,43,51,12,14,55,185
100,100,46,55,41,33,45,53,100,26,100,74
95,95,94,44,32,28,74,67,57,24,33,218
91,86,47,54,32,33,80,86,29,20,59,224
88,80,95,71,52,42,75,100,75,20,46,253
84,74,0,71,83,48,64,93,57,87,58,337
87,85,0,62,82,60,79,97,88,43,51,370
86,86,47,66,71,50,71,95,29,46,58,386
83,82,69,97,100,67,58,87,67,58,73,270
84,73,46,78,53,81,69,95,28,70,79,377
84,74,0,100,89,81,68,93,51,63,65,550
85,60,69,94,79,77,78,92,56,62,49,572
73,46,0,75,54,61,93,90,17,100,57,708
78,49,23,94,31,52,82,88,45,51,54,676
78,38,45,79,43,42,100,82,38,51,40,571
